steamid,wave
76561198810291309, 463.30
76561199386825990, 315.99
76561198239845588, 312.99
76561198880367023, 300.54
76561199147805070, 270.02
76561198144925223, 267.95
76561198280461607, 266.66
76561199395613531, 263.93
76561198843540024, 255.91
76561198871539228, 251.84
76561198723732920, 245.00
76561199443650024, 243.93
76561199722862296, 240.02
76561198271599959, 238.87
76561199678463251, 237.70
76561199500290538, 237.42
76561198701576362, 219.99
76561199672413577, 214.82
76561198985135588, 213.94
76561199230008539, 210.98
76561199167828343, 206.76
76561199103038547, 205.41
76561198811200277, 204.87
76561198137243714, 203.99
76561198756184912, 203.99
76561199316121691, 202.01
76561199562092487, 201.30
76561198929896438, 201.02
76561198255000113, 201.00
76561199452655992, 200.28
76561198162729686, 200.21
76561199406064084, 192.00
76561199107771670, 191.81
76561198203687837, 190.86
76561198997380708, 190.62
76561199866721852, 190.21
76561199084764368, 189.81
76561198134293244, 184.92
76561199050795901, 184.68
76561199014366082, 184.02
76561199382672348, 178.59
76561198712940204, 175.81
76561198104671626, 172.93
76561199130749364, 172.89
76561199274309460, 170.89
76561198111930731, 166.81
76561199636089994, 166.77
76561199088405438, 165.01
76561199304692359, 165.00
76561198858174711, 164.63
76561199086553337, 158.89
76561199180818879, 158.01
76561199466288024, 156.67
76561198354445548, 155.85
76561198367591359, 153.89
76561199842122924, 152.88
76561199669075092, 151.59
76561198840721383, 151.00
76561199487369089, 150.99
76561198353273543, 150.86
76561198845864244, 150.85
76561198168003615, 150.73
76561199005103896, 150.67
76561199572200266, 150.62
76561199404006560, 150.32
76561199836342765, 150.00
76561199482828531, 149.86
76561199543383117, 148.98
76561198333867349, 148.87
76561199375108758, 148.84
76561199523330994, 147.96
76561199217894210, 147.38
76561199528914296, 147.01
76561199642115901, 147.00
76561199149454772, 145.23
76561199260650042, 145.13
76561199534935666, 144.98
76561198993549868, 144.95
76561199772684535, 144.00
76561198180626434, 143.89
76561198807978672, 143.23
76561198276716987, 142.70
76561198968940194, 142.68
76561198086437143, 142.66
76561199180117840, 142.01
76561199031608590, 141.96
76561199518845285, 141.84
76561199056423273, 140.75
76561199340248224, 140.38
76561198338333591, 140.34
76561198829179725, 139.93
76561198958577934, 139.44
76561198251927162, 139.21
76561198351869590, 138.04
76561199154639979, 137.90
76561199660075664, 137.71
76561198298232556, 137.67
76561199101387063, 137.36
76561198319776622, 137.00
76561199799711545, 137.00
76561198947868841, 136.92
76561198883027310, 135.76
76561199841170841, 135.00
76561199068987048, 134.82
76561199065877623, 134.76
76561199522833173, 134.00
76561198406928456, 133.73
76561199012066303, 133.00
76561198124641846, 132.39
76561198848040339, 132.07
76561199784709869, 131.81
76561199050156277, 131.62
76561199107213301, 131.54
76561198375133338, 131.41
76561198015811226, 131.37
76561199214532480, 131.21
76561199663175907, 131.01
76561198151404312, 130.85
76561198841008602, 130.73
76561199558844872, 130.29
76561199619079527, 130.00
76561199082159734, 130.00
76561198129604582, 128.68
76561199011410093, 128.41
76561198854589078, 127.81
76561199073082081, 127.79
76561198095342083, 127.78
76561198836566804, 127.51
76561198874373891, 127.45
76561198056089940, 126.90
76561198054662035, 126.68
76561199164813516, 126.00
76561198273321418, 125.96
76561199671561925, 125.47
76561198425133887, 125.24
76561198853723974, 125.20
76561199496212301, 125.06
76561199826440728, 125.00
76561199593818774, 124.78
76561198146253982, 124.76
76561199122315904, 124.65
76561199120836783, 124.26
76561199130060929, 123.91
76561199525169321, 123.86
76561199468601489, 123.85
76561199623494262, 123.81
76561198941666829, 123.75
76561199297387005, 123.75
76561199197372380, 123.51
76561199115707951, 123.45
76561198131639897, 123.41
76561198059520524, 123.36
76561198273791652, 123.33
76561198087359881, 123.25
76561199813459033, 123.19
76561199817175202, 123.00
76561198870249804, 122.93
76561199170499443, 122.30
76561198800907538, 122.26
76561199555759480, 122.00
76561199508531553, 122.00
76561198888381093, 121.90
76561198868977188, 121.88
76561198958493901, 121.81
76561199057544301, 121.76
76561198098098029, 121.53
76561199642607346, 121.10
76561199637223324, 121.00
76561199634424333, 120.95
76561198146713966, 120.88
76561199061442934, 120.84
76561199119681769, 120.62
76561199657087243, 120.58
76561197978032717, 120.47
76561198064113869, 120.41
76561199805992021, 120.34
76561199103734153, 120.25
76561199038904667, 120.04
76561199393616786, 120.00
76561198934274293, 119.66
76561198423453187, 119.58
76561198245776578, 119.23
76561199481720288, 118.91
76561199489329072, 118.86
76561198807384074, 118.70
76561198281685843, 118.58
76561198162043148, 118.50
76561198993372919, 118.42
76561199178252774, 118.27
76561199215435576, 118.00
76561199128989698, 117.70
76561199860957770, 117.61
76561199216069226, 116.55
76561198839584112, 116.31
76561199113535400, 116.00
76561199181244492, 115.98
76561199369477794, 115.91
76561199004304456, 115.89
76561199792367258, 115.68
76561199152687824, 115.43
76561199015717207, 115.42
76561198241032966, 114.91
76561198930741855, 114.90
76561199305849743, 114.80
76561198968796564, 114.52
76561198447470111, 114.50
76561199375882612, 114.38
76561199118523771, 114.36
76561199543097507, 114.12
