steamid,wave
76561199566578881, 319.80
76561199519680715, 304.00
76561199046129244, 300.01
76561198810291309, 244.74
76561198271599959, 216.88
76561199530024239, 213.79
76561199071826924, 203.00
76561199487369089, 201.81
76561199013426942, 187.35
76561198296788142, 181.87
76561199122395751, 174.23
76561198831619242, 172.35
76561199184039393, 171.35
76561198183195655, 170.88
76561198265116562, 170.70
76561199119625063, 170.01
76561199388401395, 166.02
76561199491181727, 165.39
76561199064623850, 165.29
76561199443650024, 163.84
76561198414916459, 162.23
76561198993951049, 155.00
76561198131343815, 154.69
76561199737199996, 153.90
76561198402271965, 149.88
76561198847091192, 149.80
76561198862097457, 146.31
76561199070175281, 143.00
76561199090312317, 142.78
76561199032897108, 142.69
76561199087991643, 140.88
76561199127164287, 140.18
76561199051744076, 138.89
76561199255091808, 133.80
76561199294979909, 132.00
76561199104316992, 131.81
76561198986900481, 129.76
76561198828831145, 128.86
76561199712867510, 128.85
76561199097807088, 127.69
76561198349306086, 127.68
76561199116942159, 127.39
76561198929964475, 126.85
76561199039672548, 125.92
76561198365290405, 125.84
76561198041513615, 125.82
76561198339521466, 125.57
76561199225798281, 125.45
76561198756466555, 125.06
76561199093119285, 123.54
76561198338333591, 123.35
76561198261524165, 122.09
76561199110513418, 122.07
76561199877525753, 121.95
76561199083989675, 121.71
76561199110572727, 121.38
76561199075242121, 121.32
76561199867013942, 121.30
76561199400413451, 120.90
76561199095012691, 120.77
76561198120405172, 120.45
76561199682425453, 120.44
76561199852809380, 120.14
76561199826707353, 119.33
76561198333511123, 118.76
76561199340248224, 118.64
76561199740316809, 118.53
76561199121227558, 118.27
76561199426542948, 117.97
76561198989332967, 117.89
76561199126967338, 117.87
76561199828716001, 117.15
76561199548494196, 117.14
76561198368550007, 117.11
76561199076742593, 117.09
76561199214051994, 116.45
76561199198235751, 115.93
76561197976741536, 115.85
76561198730890635, 115.51
76561199470503388, 115.35
76561198371463079, 115.09
76561198862110261, 115.04
76561199445829846, 114.22
76561198876411028, 114.14
76561198267946654, 113.70
76561199224279527, 113.66
76561199196465650, 113.57
76561198451576498, 113.43
76561198176335547, 113.17
76561199068077482, 112.74
76561199275223203, 112.43
76561198337844439, 111.57
76561198163384817, 110.78
76561198351610812, 110.40
76561199007481854, 110.37
76561199375488077, 110.21
76561198811194746, 110.11
76561199799202673, 110.00
