steamid,wave
76561198810291309, 248.03
76561198144925223, 245.05
76561198239845588, 242.02
76561199672413577, 214.82
76561198162729686, 200.21
76561199443650024, 197.99
76561198997380708, 190.62
76561198880367023, 189.79
76561199500290538, 181.69
76561199084764368, 168.62
76561198271599959, 166.89
76561198845864244, 150.85
76561198168003615, 150.73
76561198333867349, 148.87
76561199487369089, 138.73
76561198298232556, 137.67
76561198958577934, 135.43
76561199065877623, 134.76
76561198203687837, 132.87
76561198807978672, 132.58
76561199014366082, 131.92
76561198151404312, 130.85
76561199274309460, 130.84
76561199619079527, 130.00
76561199101387063, 128.74
76561198874373891, 127.45
76561199543383117, 126.84
76561198273321418, 125.96
76561198425133887, 125.24
76561198853723974, 125.20
76561198104671626, 123.69
76561198131639897, 123.41
76561198800907538, 122.26
76561199103038547, 121.85
76561199642607346, 121.10
76561199119681769, 120.62
76561198367591359, 119.77
76561198934274293, 119.66
76561198280461607, 118.88
76561199113535400, 116.00
76561198930741855, 114.90
76561198447470111, 114.50
76561199340248224, 113.36
76561198275510727, 112.63
76561198871539228, 112.61
76561198385337652, 112.35
76561199261648051, 112.18
76561198836566804, 109.66
76561198369893875, 109.22
76561198342062970, 108.93
76561198973900464, 107.79
76561198160547787, 107.74
76561198321869056, 106.67
76561198918120457, 105.95
76561198042252639, 105.62
76561199208231875, 104.96
76561199058949355, 104.95
76561198873906436, 104.84
76561199690402090, 104.64
76561198245776578, 104.47
76561199233544074, 103.93
76561198172233339, 103.83
76561199426784849, 103.67
76561198338333591, 103.59
76561198141893263, 103.00
76561199105648774, 102.82
76561199256487841, 102.82
76561199569675421, 102.61
76561199063140386, 102.52
76561198324250745, 102.20
76561199025368431, 102.18
76561199017498087, 102.00
76561199128745115, 101.96
76561198973550995, 101.88
76561198319776622, 101.83
76561198370506756, 101.73
76561198086437143, 101.52
76561198251927162, 101.38
76561199140156747, 101.16
76561199405695510, 101.08
76561199550290196, 101.00
76561199472594067, 101.00
76561199034631209, 101.00
76561198827034070, 101.00
76561199154639979, 100.92
76561199205966512, 100.89
76561198400909935, 100.89
76561198955330321, 100.60
76561199167828343, 100.59
76561198089549968, 100.55
76561198865067682, 100.50
76561198402753233, 100.09
76561199125078605, 99.81
76561198107776822, 99.77
76561198798857233, 99.42
76561199176176442, 99.30
76561198841008602, 99.30
76561198371924020, 98.75
76561199386825990, 98.41
76561198353608723, 98.22
76561198394671908, 97.81
76561198868977188, 97.75
76561198180626434, 97.74
76561199057544301, 97.60
76561198302327175, 97.19
76561198325880046, 96.85
76561198171942386, 96.74
76561199002945792, 96.67
76561198188148917, 96.67
76561198045947676, 96.67
76561198840721383, 96.66
76561198113275093, 96.61
76561198346846565, 96.38
76561198913431374, 96.34
76561199180818879, 95.81
76561198101352327, 95.77
76561198805216604, 95.76
76561199178252774, 95.65
76561198437252980, 95.63
76561198166886246, 95.63
76561198317934869, 95.58
76561198353273543, 95.56
76561198095342083, 95.55
76561198056089940, 94.78
76561198168581334, 94.74
76561199517324135, 94.63
76561199230070166, 94.45
76561199229358731, 94.41
76561199362990034, 93.86
76561199089768431, 93.73
76561199088531079, 93.55
76561199544406089, 93.44
76561199057312325, 93.30
76561199122315904, 93.22
76561199375108758, 92.85
76561198247490424, 92.75
76561198920139818, 92.64
76561199376384903, 92.47
76561198079192441, 92.33
76561198941666829, 92.32
76561198059520524, 92.25
76561198283895225, 91.76
76561198307058138, 91.70
76561199120836783, 91.68
76561199246163365, 91.65
76561198125957436, 91.60
76561198931164755, 91.50
76561198858174711, 91.35
76561198800259037, 91.23
76561199485380405, 91.17
76561199489329072, 90.80
76561198334901758, 90.79
76561198843984998, 90.67
76561199011410093, 90.61
76561198406928456, 90.46
76561198807384074, 90.46
76561198843439402, 90.43
76561199434429547, 90.23
76561198150321078, 89.85
76561198028003922, 89.84
76561199190234068, 89.78
76561199020787099, 89.70
76561199197372380, 89.59
76561198444052589, 89.58
76561198828196145, 89.52
76561199570551842, 89.51
76561199074678361, 89.33
76561197983237604, 89.16
76561198128280243, 88.79
76561199218567687, 88.69
76561199369477794, 88.68
76561199572200266, 88.60
76561198993372919, 88.51
76561199183517578, 88.50
76561199126434458, 88.50
76561198300332168, 88.50
76561198856723977, 88.44
76561199293635839, 88.37
76561199197224542, 88.27
76561199189099635, 88.24
76561198113572084, 88.21
76561198390663903, 88.16
76561198247998124, 88.13
76561199236429557, 87.93
76561198968940194, 87.58
76561198385635210, 87.56
76561199187281012, 87.40
76561198197553337, 87.36
76561199130864873, 87.19
76561198967107721, 86.83
76561199082587638, 86.74
76561199125473508, 86.70
76561199136503790, 86.68
76561198963586260, 86.58
76561199671561925, 86.53
76561198132784001, 86.48
76561197963628340, 86.46
76561198796129238, 86.42
76561199364353454, 86.38
76561198989855413, 86.37
76561198415253453, 86.36
76561199118523771, 86.27
76561198098098029, 86.19
76561199162601968, 86.16
76561198072146463, 86.14
76561198313716600, 85.93
76561199244723061, 85.90
76561199130796969, 85.89
76561199018899962, 85.86
76561198124641846, 85.78
76561199035713573, 85.76
76561198142774611, 85.63
76561198374117058, 85.60
76561199032897108, 85.45
76561198334038287, 85.39
76561198272683474, 85.31
76561198281685843, 85.26
76561198862110261, 85.22
76561199562587572, 85.00
76561198426307130, 84.81
76561199060728210, 84.81
76561198143223810, 84.78
76561198976720521, 84.78
76561198214529753, 84.77
76561198114723182, 84.72
76561198357452780, 84.71
76561198156800784, 84.67
76561198282225609, 84.65
76561199013426942, 84.52
76561198272358386, 84.40
76561199108999754, 84.27
76561199091202046, 83.79
76561199140665706, 83.70
76561199031608590, 83.69
76561198992910670, 83.60
76561198412863120, 83.60
76561198331884798, 83.58
76561199219052673, 83.53
76561199195414858, 83.47
76561199163684730, 83.43
76561198421212119, 83.41
76561198061307101, 83.40
76561199224670403, 83.38
76561198931547705, 83.32
76561198078741717, 83.19
76561198209476064, 83.18
76561199677041587, 82.97
76561199469705508, 82.91
76561198148691211, 82.89
76561198862097457, 82.85
76561198961336395, 82.83
76561198166536378, 82.76
76561199345854734, 82.65
76561198103211035, 82.64
76561198446611563, 82.63
76561198988393447, 82.59
76561198383578864, 82.48
76561198886325592, 82.45
76561198165977505, 82.43
76561198249965152, 82.42
76561199238337358, 82.30
76561198835032771, 82.30
76561198439584975, 82.29
76561199562092487, 82.25
76561198391674727, 82.23
76561198194416981, 82.17
76561198817698773, 82.12
76561199056375704, 81.85
76561199122185408, 81.80
76561198301584376, 81.75
76561198018302579, 81.65
76561198284993054, 81.65
76561198829395929, 81.64
76561199792367258, 81.64
76561198880336261, 81.59
76561199238250901, 81.59
76561199230041964, 81.55
76561199483913602, 81.48
76561199538716460, 81.48
76561198974927038, 81.32
76561198378152978, 81.30
76561199005162365, 81.25
76561198146579056, 81.25
76561199629877543, 81.21
76561198056983775, 81.20
76561199005542753, 81.08
76561198085191547, 81.02
76561199229811864, 80.92
76561198856367822, 80.77
76561199515088091, 80.76
76561199032012719, 80.75
76561198993396666, 80.74
76561199514672513, 80.71
76561198070029444, 80.63
76561199540149719, 80.62
76561198976261985, 80.56
76561199222947617, 80.56
76561198151158663, 80.52
76561198261590420, 80.39
76561198834552307, 80.39
76561198432629966, 80.30
76561199100007769, 80.25
76561199453077436, 80.23
76561199181824842, 80.16
76561198865463706, 80.00
76561198188479149, 79.94
76561198801019460, 79.92
76561198873396740, 79.86
76561198864451484, 79.84
76561198854987335, 79.79
76561198129238020, 79.74
76561198287403517, 79.73
76561199585635883, 79.72
76561198382389456, 79.71
76561199297387005, 79.61
76561198369440071, 79.61
76561198156404284, 79.60
76561198438416041, 79.57
76561199155668835, 79.56
76561198205041041, 79.52
76561199527073594, 79.50
76561198872501684, 79.46
76561198272413484, 79.42
76561199231546446, 79.38
76561199655587284, 79.36
76561198140609005, 79.35
76561198383565029, 79.33
76561198349306086, 79.32
76561198981897135, 79.32
76561199563214596, 79.27
76561199229432782, 79.24
76561198839584112, 79.17
76561198294940342, 79.11
76561198858771984, 79.05
76561199118486771, 78.83
76561198858755410, 78.79
76561199477415459, 78.79
76561198426639132, 78.79
76561198419875803, 78.77
76561197998071622, 78.71
76561199053661130, 78.70
76561198289540452, 78.68
76561199107213301, 78.65
76561199115707951, 78.61
76561198081546879, 78.53
76561198863198827, 78.50
76561199073745772, 78.44
76561198851411530, 78.43
76561198057232844, 78.37
76561198381523387, 78.37
76561198977773288, 78.36
76561199018554139, 78.25
76561199271718794, 78.18
76561199204765560, 78.17
76561199127858868, 78.17
76561198412638125, 78.14
76561199512811169, 77.98
76561198228880564, 77.93
76561198168037810, 77.86
76561198090814230, 77.86
76561198034281014, 77.84
76561199237092959, 77.77
76561199219110805, 77.77
76561198105045929, 77.74
76561198065751522, 77.69
76561199163700664, 77.55
76561199441440020, 77.55
76561199096037294, 77.51
76561199186057473, 77.50
76561198085641889, 77.50
76561198838698208, 77.48
76561199172956913, 77.47
76561198835553429, 77.43
76561198025354465, 77.41
76561199376986460, 77.38
76561199233070158, 77.38
76561199217484299, 77.38
76561198369670255, 77.37
76561198935338296, 77.32
76561198146253982, 77.30
76561199058877626, 77.28
76561198334791309, 77.28
76561199247539679, 77.18
76561199123854254, 77.00
76561198129604582, 77.00
76561199069175406, 76.97
76561198431229380, 76.89
76561198100701419, 76.85
76561198399099425, 76.84
76561198106164401, 76.82
76561198353224658, 76.81
76561199171473631, 76.80
76561198070674260, 76.76
76561198360026825, 76.74
76561199090312317, 76.71
76561199576702025, 76.65
76561199014195635, 76.65
76561199169572975, 76.63
76561199114840957, 76.60
76561199367741769, 76.58
76561198868867526, 76.57
76561199050636652, 76.55
76561198451009207, 76.52
76561199503331074, 76.48
76561198275217243, 76.47
